Year,Site,Habitat,Taxonomy_Substrate_Functional_Group,mean_percent_cover
2005,LTER 1,Fringing,Algal Turf,45.44
2005,LTER 1,Fringing,Amansia rhodantha,0.4
2005,LTER 1,Fringing,Ascidian,0.08
2005,LTER 1,Fringing,Coral,38.64
2005,LTER 1,Fringing,Crustose Corallines,0.48
2005,LTER 1,Fringing,Dictyota sp.,0.56
2005,LTER 1,Fringing,Halimeda sp.,3.44
2005,LTER 1,Fringing,Sand,10.96
2005,LTER 1,Outer 10,Algal Turf,49.92
2005,LTER 1,Outer 10,Asparagopsis taxiformis,2.72
2005,LTER 1,Outer 10,Coral,37.52
2005,LTER 1,Outer 10,Crustose Corallines,7.44
2005,LTER 1,Outer 10,Halimeda sp.,1.04
2005,LTER 1,Outer 10,Lobophora variegata,0.8
2005,LTER 1,Outer 10,Sand,0.4
2005,LTER 1,Outer 10,Sponge,0.16
2005,LTER 1,Outer 17,Algal Turf,36.08
2005,LTER 1,Outer 17,Asparagopsis taxiformis,4.72
2005,LTER 1,Outer 17,Coral,52
2005,LTER 1,Outer 17,Crustose Corallines,4.88
2005,LTER 1,Outer 17,Dictyota sp.,0.16
2005,LTER 1,Outer 17,Halimeda sp.,0.56
2005,LTER 1,Outer 17,Sand,1.6
2005,LTER 2,Fringing,Algal Turf,22.48
2005,LTER 2,Fringing,Coral,12.72
2005,LTER 2,Fringing,Crustose Corallines,2.56
2005,LTER 2,Fringing,Damselfish Turf,58.24
2005,LTER 2,Fringing,Millepora platyphylla,0.96
2005,LTER 2,Fringing,Sand,0
2005,LTER 2,Fringing,Turbinaria ornata,3.04
2005,LTER 2,Outer 10,Algal Turf,38.96
2005,LTER 2,Outer 10,Asparagopsis taxiformis,3.12
2005,LTER 2,Outer 10,Coral,35.84
2005,LTER 2,Outer 10,Crustose Corallines,7.6
2005,LTER 2,Outer 10,Halimeda sp.,1.12
2005,LTER 2,Outer 10,Lobophora variegata,8.96
2005,LTER 2,Outer 10,Millepora platyphylla,3.44
2005,LTER 2,Outer 10,Sand,0.96
2005,LTER 2,Outer 17,Algal Turf,38.88
2005,LTER 2,Outer 17,Asparagopsis taxiformis,4.48
2005,LTER 2,Outer 17,Coral,40.96
2005,LTER 2,Outer 17,Crustose Corallines,3.36
2005,LTER 2,Outer 17,Dictyota sp.,0
2005,LTER 2,Outer 17,Halimeda sp.,0.88
2005,LTER 2,Outer 17,Lobophora variegata,7.92
2005,LTER 2,Outer 17,Millepora platyphylla,1.68
2005,LTER 2,Outer 17,Sand,1.84
2005,LTER 3,Fringing,Algal Turf,41.36
2005,LTER 3,Fringing,Coral,27.6
2005,LTER 3,Fringing,Crustose Corallines,0.72
2005,LTER 3,Fringing,Damselfish Turf,18.16
2005,LTER 3,Fringing,Halimeda sp.,0.24
2005,LTER 3,Fringing,Sand,11.92
2005,LTER 3,Fringing,Turbinaria ornata,0
2005,LTER 3,Outer 10,Algal Turf,40.72
2005,LTER 3,Outer 10,Asparagopsis taxiformis,0
2005,LTER 3,Outer 10,Coral,34.96
2005,LTER 3,Outer 10,Crustose Corallines,12.96
2005,LTER 3,Outer 10,Halimeda sp.,5.12
2005,LTER 3,Outer 10,Lobophora variegata,1.84
2005,LTER 3,Outer 10,Sand,0.16
2005,LTER 3,Outer 10,Turbinaria ornata,4.24
2005,LTER 3,Outer 17,Algal Turf,41.04
2005,LTER 3,Outer 17,Coral,27.36
2005,LTER 3,Outer 17,Crustose Corallines,11.92
2005,LTER 3,Outer 17,Halimeda sp.,10.08
2005,LTER 3,Outer 17,Lobophora variegata,8.48
2005,LTER 3,Outer 17,Millepora platyphylla,0
2005,LTER 3,Outer 17,Sand,1.12
2005,LTER 4,Fringing,Algal Turf,56.48
2005,LTER 4,Fringing,Coral,19.52
2005,LTER 4,Fringing,Crustose Corallines,0
2005,LTER 4,Fringing,Damselfish Turf,0.96
2005,LTER 4,Fringing,Halimeda sp.,0.8
2005,LTER 4,Fringing,Sand,19.28
2005,LTER 4,Fringing,Shell Debris,2.96
2005,LTER 4,Outer 10,Algal Turf,38.64
2005,LTER 4,Outer 10,Coral,45.68
2005,LTER 4,Outer 10,Crustose Corallines,11.04
2005,LTER 4,Outer 10,Halimeda sp.,0.24
2005,LTER 4,Outer 10,Millepora platyphylla,3.2
